user_id,prod_id,rating,label,date,review
36274,308,1.0,-1,2014-11-29,"[u'never', u'chance', u'try', u'go', u'615', u'reservation', u'call', u'confirm', u'black', u'friday', u'50', u'people', u'wait', u'theatre', u'ticket', u'walk', u'640', u'place', u'overbooked', u'people', u'wait', u'table', u'people', u'eat', u'horrible', u'experience']"
92263,692,4.0,-1,2012-01-20,"[u'love', u'smallish', u'place', u'korean', u'sandwich', u'offer', u'also', u'salmon', u'plate', u'miso', u'pretty', u'nice']"
52015,211,5.0,-1,2013-08-28,"[u'eat', u'pizza', u'week', u'best', u'one', u'ive', u'ever', u'thank', u'god', u'dont', u'live', u'nyc', u'would', u'fat', u'cow', u'break', u'couple', u'months']"
75280,363,1.0,-1,2013-01-20,"[u'big', u'disappointment', u'arrive', u'6', u'pm', u'opned', u'reservation', u'however', u'table', u'terrible', u'even', u'move', u'get', u'cold', u'blast', u'air', u'everytime', u'door', u'opemed', u'waitor', u'extremely', u'rude', u'forget', u'order', u'boulliabase', u'special', u'next', u'joke', u'poor', u'sauce', u'almost', u'weafood', u'one', u'shrimp', u'one', u'mussel', u'piece', u'lobster', u'reminder', u'dish', u'potatoes', u'veges', u'3900', u'joke', u'best', u'things', u'menu', u'bread', u'desserts', u'bill', u'4', u'people', u'inexpensive', u'bottle', u'wine', u'40000', u'far', u'better', u'ways', u'spend', u'money', u'new', u'york']"
150077,853,5.0,-1,2013-09-10,"[u'omg', u'pancakes', u'awesome', u'service', u'really', u'great', u'host', u'caroline', u'piece', u'work', u'good', u'piece', u'go', u'dinner', u'sake', u'glaze', u'salmon', u'mac', u'n', u'cheese', u'sidefantabulous', u'everything', u'taste', u'great', u'hit', u'right', u'spot', u'food', u'come', u'fast', u'service', u'bang', u'bang', u'female', u'server', u'pretty', u'cute', u'wonder', u'whats', u'name']"
5085,14,3.0,-1,2014-10-02,"[u'pros', u'wife', u'fancy', u'fry', u'chicken', u'experts', u'root', u'bone', u'fry', u'chicken', u'among', u'best', u'weve', u'ever', u'taste', u'way', u'lace', u'honey', u'lemon', u'season', u'taste', u'lemon', u'well', u'honey', u'bite', u'amaze', u'macaroni', u'cheese', u'pretty', u'good', u'con', u'price', u'high', u'side', u'compare', u'chicken', u'waffle', u'place', u'weve', u'pecan', u'pie', u'little', u'watery', u'taste', u'venue', u'small', u'side', u'might', u'consider', u'take', u'food', u'go', u'overall', u'definitely', u'back']"
90584,454,3.0,-1,2009-10-08,"[u'place', u'great', u'people', u'watch', u'food', u'really', u'good', u'outdoor', u'seat', u'wonderful', u'good', u'solid', u'food', u'love', u'lemon', u'ricotta', u'pancakes', u'price', u'arent', u'bad', u'either', u'make', u'sure', u'book', u'advance', u'hard', u'get', u'table', u'peak', u'hours']"
151576,863,5.0,-1,2014-02-25,"[u'love', u'good', u'delicious', u'fill']"
97779,146,1.0,-1,2010-11-22,"[u'terrible', u'service', u'visit', u'restaurant', u'june', u'2010', u'nov', u'2010', u'time', u'service', u'horrible', u'specially', u'seem', u'manage', u'lot', u'attitude', u'never']"
54640,890,4.0,-1,2012-01-09,"[u'keep', u'simple', u'name', u'good', u'burgerit', u'would', u'get', u'five', u'star', u'except', u'bathrooms', u'need', u'facelift', u'servers', u'need', u'class', u'polite', u'say', u'thank', u'besides', u'burger', u'juicy', u'perfect', u'size', u'probably', u'78', u'ounces', u'regular', u'bun', u'regular', u'cheese', u'ozzes', u'flavour', u'bartender', u'jeff', u'great', u'always', u'cool', u'music']"
123817,77,1.0,-1,2011-01-04,"[u'come', u'good', u'experience', u'original', u'westville', u'food', u'locations', u'service', u'particular', u'host', u'rude', u'completely', u'incompetent', u'completely', u'unaware', u'incompetence', u'bad', u'combination']"
135416,855,4.0,-1,2009-03-15,"[u'love', u'market', u'table', u'oyster', u'could', u'best', u'village']"
